App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last update,Privacy Policy,Content Rating,Ad Supported,In app purchases,Editor Choice,Summary,Reviews,Android version Text,Developer,Developer Address,Developer Internal ID,Version
Learn English from ABC to word reading.,com.hegodev.myfirstalphabetbook,Education,4.1,507,"500,000+",500000,TRUE,0,USD,3.9M,4.3,4662738378441940000,http://www.hegodev.com,hegodev@gmail.com,"Nov 18, 2017","February 1, 2021",https://sites.google.com/view/hegodevelopers/abc-privacy-policy,Everyone,TRUE,FALSE,FALSE,"Learn ABC and word recolonization, multiple activities, worksheet.",117,4.3 and up,HeGoDev,"HeGoDev
Maharashtra
India",4.66274E+18,3
My ABC book - Kids,com.hegodev.myabcbook,Educational,4.2083335,48,"10,000+",10000,TRUE,0,USD,5.2M,4.3,4662738378441940000,http://www.hegodev.com,hegodev@gmail.com,"Nov 19, 2017","August 18, 2020",https://sites.google.com/view/hegodevelopers/abc-privacy-policy,Everyone,TRUE,FALSE,FALSE,Kids First book of letters and Alphabets (Small and Big).,17,4.3 and up,HeGoDev,"HeGoDev
Maharashtra
India",4.66274E+18,1.6
Science Quiz for kids,com.hegodev.Kids_Science_Quiz,Education,3.87,137,"10,000+",10000,TRUE,0,USD,2.3M,4.4,4662738378441940000,http://www.hegodev.com,hegodev@gmail.com,"Jun 8, 2019","October 3, 2019",https://sites.google.com/view/hegodevelopers/abc-privacy-policy,Everyone,TRUE,FALSE,FALSE,Science questions for kids. Optional question format.,93,4.4 and up,HeGoDev,"HeGoDev
Maharashtra
India",4.66274E+18,1.05
Spell Bee for kids,com.hegodev.spellbee,Education,4.01,207,"100,000+",100000,TRUE,0,USD,2.5M,4.1,4662738378441940000,http://www.hegodev.com,hegodev@gmail.com,"May 18, 2018","February 12, 2021",https://sites.google.com/view/hegodevelopers/abc-privacy-policy,Everyone,TRUE,FALSE,FALSE,Educational game for learning to read and improve spelling. Dictation mode.,103,4.1 and up,HeGoDev,"HeGoDev
Maharashtra
India",4.66274E+18,2.6
CBSE Class 5 MCQ,com.hegodev.CBSE_Class_5,Education,4.111111,1435,"100,000+",100000,TRUE,0,USD,1.5M,4.4,4662738378441940000,http://www.hegodev.com,hegodev@gmail.com,"Feb 16, 2020","September 5, 2020",http://www.hegodev.com/privacy-policy/,Everyone,TRUE,FALSE,FALSE,"CBSE Class 5 MCQ for Computer, Science, Math, General Knowledge(G.K)",796,4.4 and up,HeGoDev,"HeGoDev
Maharashtra
India",4.66274E+18,1.6
Kids Drawing Games for Girls! Apps for Toddlers!,com.binibambini.drawingforgirls,Educational,4.3249445,13176,"5,000,000+",5000000,TRUE,0,USD,118M,5,5493827619333840000,http://teachdraw.com,feedback@binibambini.com,"Nov 18, 2019","May 13, 2021",https://teachdraw.com/privacy-policy,Everyone,TRUE,TRUE,FALSE,Try our kids games for girls!👸 Drawing for children is an exciting pastime!🤗,6209,5.0 and up,Bini Bambini,"Makariou III, 22
Makaria Center, 4th floor, flat/office 403
6016, Larnaca, Cyprus",5.49383E+18,1.6.0.12
Reading Academy! Kids Learn to Read and Write!,com.binibambini.NumbersMonstersLite,Education,4.2415056,19050,"5,000,000+",5000000,TRUE,0,USD,85M,4.4,5493827619333840000,http://binibambini.com/,feedback@binibambini.com,"Aug 25, 2016","March 18, 2021",http://binibambini.com/en/privacy-policy/,Everyone,TRUE,TRUE,FALSE,Welcome to english spelling games for kids! Kindergarten reading apps for kids🤩,6175,4.4 and up,Bini Bambini,"Makariou III, 22
Makaria Center, 4th floor, flat/office 403
6016, Larnaca, Cyprus",5.49383E+18,3.0.3.1
Bini Toddler Drawing Apps! Coloring Games for Kids,com.binibambini.acad.drawing,Educational,4.3346057,7482,"5,000,000+",5000000,TRUE,0,USD,87M,4.1,5493827619333840000,http://teachdraw.com/,feedback@binibambini.com,"Aug 20, 2019","May 28, 2021",https://teachdraw.com/privacy-policy,Everyone,TRUE,TRUE,FALSE,Looking for toddler games? Be sure to try our Academy & other kids drawing games,3099,4.1 and up,Bini Bambini,"Makariou III, 22
Makaria Center, 4th floor, flat/office 403
6016, Larnaca, Cyprus",5.49383E+18,2.0.0.21
Bini Drawing for Kids! Learning Games for Toddlers,com.binibambini.MiniLite,Educational,4.1498113,65828,"10,000,000+",10000000,TRUE,0,USD,87M,4.4,5493827619333840000,http://teachdraw.com,feedback@binibambini.com,"May 30, 2016","May 7, 2021",https://teachdraw.com/privacy-policy/,Everyone,TRUE,TRUE,FALSE,Try our toddler games for girls & boys! Your baby will love our fun drawing apps,21528,4.4 and up,Bini Bambini,"Makariou III, 22
Makaria Center, 4th floor, flat/office 403
6016, Larnaca, Cyprus",5.49383E+18,3.3.0.4
Bini Super ABC! Preschool Learning Games for Kids!,com.binibambini.abc,Educational,4.4888005,89923,"10,000,000+",10000000,TRUE,0,USD,82M,5,5493827619333840000,http://teachdraw.com,feedback@binibambini.com,"Dec 8, 2017","April 22, 2021",http://binibambini.com/en/privacy-policy/,Everyone,TRUE,TRUE,FALSE,Alphabet for toddlers and funny letters for kids here! Learning and development!,35968,5.0 and up,Bini Bambini,"Makariou III, 22
Makaria Center, 4th floor, flat/office 403
6016, Larnaca, Cyprus",5.49383E+18,2.7.5.1
Toddler coloring apps for kids! Drawing games!,com.binibambini.minidancing,Educational,4.242384,7488,"1,000,000+",1000000,TRUE,0,USD,154M,6,5493827619333840000,http://teachdraw.com,feedback@binibambini.com,"Jun 21, 2018","April 12, 2021",http://binibambini.com/privacy-policy/,Everyone,TRUE,TRUE,FALSE,Cool toddler drawing games with funny dancing animals for kids!😍 DRAW & DANCE!,3009,6.0 and up,Bini Bambini,"Makariou III, 22
Makaria Center, 4th floor, flat/office 403
6016, Larnaca, Cyprus",5.49383E+18,1.3.1.2
Learn to Read! ABC Letters and Phonics for Kids!,com.binibambini.MiniABCLite,Educational,4.332257,24644,"5,000,000+",5000000,TRUE,0,USD,118M,4.4,5493827619333840000,http://binibambini.com/,feedback@binibambini.com,"Jan 6, 2018","May 26, 2021",http://binibambini.com/privacy-policy/,Everyone,TRUE,TRUE,FALSE,Learning letters and sounds with fun in our fascinating ABC games for toddlers!,8118,4.4 and up,Bini Bambini,"Makariou III, 22
Makaria Center, 4th floor, flat/office 403
6016, Larnaca, Cyprus",5.49383E+18,4.1.0.7
Baby ABC in box! Kids alphabet games for toddlers!,com.teachdraw.com.boxesabc,Educational,4.6407766,167,"50,000+",50000,TRUE,0,XXX,55M,4.4,5493827619333840000,http://teachdraw.com,feedback@binibambini.com,"May 5, 2021","May 5, 2021",http://binibambini.com/en/privacy-policy/,Everyone,TRUE,TRUE,FALSE,ABC games for kids – unique way to learn letters and sounds for kindergarten!⭐️,66,4.4 and up,Bini Bambini,"Makariou III, 22
Makaria Center, 4th floor, flat/office 403
6016, Larnaca, Cyprus",5.49383E+18,3.3.2.3
Learning numbers for kids! Writing Counting Games!,com.teachdraw.supernumbers,Educational,4.4607844,205,"100,000+",100000,TRUE,0,XXX,39M,4.1,5493827619333840000,http://teachdraw.com,feedback@binibambini.com,"Apr 29, 2021","April 29, 2021",http://binibambini.com/en/privacy-policy/,Everyone,TRUE,TRUE,FALSE,Learn to count & writing numbers for kids in Kids number games for preschoolers!,68,4.1 and up,Bini Bambini,"Makariou III, 22
Makaria Center, 4th floor, flat/office 403
6016, Larnaca, Cyprus",5.49383E+18,2.0.2.5
Pets Drawing for Kids and Toddlers games Preschool,com.teachdraw.drawing.pets,Educational,3.9612403,1273,"1,000,000+",1000000,TRUE,0,USD,62M,5,5493827619333840000,http://teachdraw.com/,feedback@binibambini.com,"Oct 13, 2020","October 13, 2020",https://teachdraw.com/privacy-policy,Everyone,TRUE,TRUE,FALSE,Paint games for little kids; Learn to draw and color for child.🐶 Kitten drawing,529,5.0 and up,Bini Bambini,"Makariou III, 22
Makaria Center, 4th floor, flat/office 403
6016, Larnaca, Cyprus",5.49383E+18,1.0.0.23
Alphabet Phonics Sounds & Alphabet for Kids,com.artsolution.alphabetphonics,Education,4.627451,971,"500,000+",500000,TRUE,0,USD,24M,7,7616013801936750000,https://doitconnect.com,art.solution.apps@gmail.com,"Sep 30, 2019","October 31, 2020",https://artsolution2018.blogspot.com/2019/09/kids-alphabet-phonics-privacy-policy.html,Everyone,TRUE,TRUE,FALSE,Simple educational app to help your toddler learn letters of the alphabet,317,7.0 and up,Art Solution,"HA NOI, VIET NAM",7.61601E+18,1.3.12
"DCleanup - Phone Cleaner, Antivirus, Battery Saver",com.cleanphone.master,Tools,4.26,823,"50,000+",50000,TRUE,0,USD,6.9M,4.4,7616013801936750000,http://doitconnect.com,art.solution.apps@gmail.com,"Jun 27, 2020","May 16, 2021",https://doitconnect.com/privacy/DCleanup,Everyone,TRUE,FALSE,FALSE,"THE BEST Phone Manager to phone cleaner, safe and speed booster your phone.",386,4.4 and up,Art Solution,"HA NOI, VIET NAM",7.61601E+18,1.1.4
"Drawing games, Doodle Painting",com.artsolution.androiddrawingpad,Entertainment,3.7857144,28,"10,000+",10000,TRUE,0,USD,Varies with device,Varies,7616013801936750000,https://doitconnect.com/,art.solution.apps@gmail.com,"Jan 31, 2019","February 23, 2020",https://artsolution2018.blogspot.com/2019/01/drawing-pad-doodle-painting-privacy.html,Everyone,TRUE,FALSE,FALSE,Best Apps and Games Drawing and Painting for you.,22,Varies with device,Art Solution,"HA NOI, VIET NAM",7.61601E+18,Varies with device
"Kids Number, Counting and Learn",com.artsolution.kidsnumbers,Education,0,N/A,"1,000+",1000,TRUE,0,USD,7.6M,4.0.3,7616013801936750000,https://doitconnect.com,drawingart201@gmail.com,"Feb 28, 2019","February 28, 2019",https://artsolution2018.blogspot.com/2019/02/kids-number-privacy-policy.html,Everyone,TRUE,FALSE,FALSE,"Preschoolers, toddlers, and older kids are eager to learn number and counting",0,4.0.3 and up,Art Solution,"HA NOI, VIET NAM",7.61601E+18,1
DLocker -  Smart AppLock & Protect Data,com.artsolution.applock,Tools,4.388889,18,"1,000+",1000,TRUE,0,USD,5.4M,4.4,7616013801936750000,https://doitconnect.com/,art.solution.apps@gmail.com,"Jul 10, 2020","April 30, 2021",https://doitconnect.com/dlocker-privacy/?preview_id=185,Everyone,TRUE,FALSE,FALSE,Smart AppLock is a tool to lock apps you like,5,4.4 and up,Art Solution,"HA NOI, VIET NAM",7.61601E+18,1.1
Fireworks Arcade Games For Kids,com.artsolution.fireworksgame,Arcade,0,N/A,"1,000+",1000,TRUE,0,USD,12M,5,7616013801936750000,https://doitconnect.com,art.solution.apps@gmail.com,"Sep 15, 2019","September 15, 2019",https://artsolution2018.blogspot.com/2019/09/fireworks-privacy-policy.html,Everyone,TRUE,FALSE,FALSE,Best App Game Fireworks For Kids. Download for you or your child now.,0,5.0 and up,Art Solution,"HA NOI, VIET NAM",7.61601E+18,1
"Math Kids - Kids Learn Math Add, Subtract Pro",com.artsolution.kidsmath,Education,4.125,16,"5,000+",5000,TRUE,0,USD,12M,4.1,7616013801936750000,https://doitconnect.com,art.solution.apps@gmail.com,"Mar 19, 2019","April 24, 2019",https://artsolution2018.blogspot.com/2019/03/math-kids-privacy-policy.html,Everyone,TRUE,FALSE,FALSE,Math Kids - Simple and easy to learn math for Kids. Download to start your child,9,4.1 and up,Art Solution,"HA NOI, VIET NAM",7.61601E+18,1.2.1
ABC Phonics & Tracing alphabet - Kids education,com.artsolution.alphabetforkids,Education,4.1944447,116,"10,000+",10000,TRUE,0,USD,65M,5,7616013801936750000,https://doitconnect.com,art.solution.apps@gmail.com,"Mar 4, 2019","February 21, 2020",https://artsolution2018.blogspot.com/2019/03/abc-kids-privacy-policy.html,Everyone,TRUE,FALSE,FALSE,"Best app kids learn alphabet, ABC - Alphabet for Kids.",83,5.0 and up,Art Solution,"HA NOI, VIET NAM",7.61601E+18,1.4.2
"Animals for Kids, Animal Sound & Connect Animal",com.artsolution.animalsoundsandlearn,Education,4.304348,23,"10,000+",10000,TRUE,0,USD,25M,4.0.3,7616013801936750000,https://doitconnect.com,art.solution.apps@gmail.com,"Feb 27, 2019","February 27, 2019",https://artsolution2018.blogspot.com/2019/02/animals-for-kid-privacy-policy.html,Everyone,TRUE,FALSE,FALSE,"Animal game for kids - Learning, Quiz and connect animal",5,4.0.3 and up,Art Solution,"HA NOI, VIET NAM",7.61601E+18,1.0.1
Tizi Town Airport: My Airplane Games for Kids Free,com.iz.pretend.play.my.monster.town.airport.games.kids,Educational,3.9390507,18520,"5,000,000+",5000000,TRUE,0,USD,47M,4.4,5953899060857090000,http://www.idzdigital.com,support@idzdigital.com,"Jun 13, 2019","April 23, 2021",http://idzdigital.com/privacypolicy.php,Everyone,TRUE,TRUE,FALSE,Be an airport manager and play super fun airline games! Get a free tour now!✈️,10609,4.4 and up,IDZ Digital Private Limited,"607, Western Edge II, Borivali (E), Mumbai 400066, India",5.9539E+18,1.9
Animal Town - My Squirrel Home for Kids & Toddlers,com.iz.play.animal.town.pretend.squirrel.house.kids,Educational,3.7392497,10888,"5,000,000+",5000000,TRUE,0,USD,60M,4.1,5953899060857090000,http://www.idzdigital.com,support@idzdigital.com,"Feb 12, 2019","December 14, 2020",http://idzdigital.com/privacypolicy.php,Everyone,TRUE,TRUE,FALSE,🔎 Find hidden surprises by playing squirrel & bunny games in animal houses 🏡,6900,4.1 and up,IDZ Digital Private Limited,"607, Western Edge II, Borivali (E), Mumbai 400066, India",5.9539E+18,2.62
My Tizi Town - Newborn Baby Daycare Games for Kids,com.iz.my.daycare.baby.sitter.kids.family.town.twins.games,Educational,4.077612,3217,"500,000+",500000,TRUE,0,USD,43M,4.4,5953899060857090000,http://www.idzdigital.com,support@idzdigital.com,"Nov 16, 2020","May 7, 2021",http://idzdigital.com/privacypolicy.php,Everyone,TRUE,FALSE,FALSE,Take care of babies & toddlers to be the best babysitter in the city. Play Now👶,2014,4.4 and up,IDZ Digital Private Limited,"607, Western Edge II, Borivali (E), Mumbai 400066, India",5.9539E+18,1.9
"Tizi World: My Play Town, Dollhouse Games for Kids",com.iz.world.pretend.play.life.my.princess.games.town.city.house.wonder.doll,Educational,4.015073,21225,"5,000,000+",5000000,TRUE,0,USD,39M,4.4,5953899060857090000,http://www.idzdigital.com,support@idzdigital.com,"Nov 11, 2019","February 24, 2021",http://idzdigital.com/privacypolicy.php,Everyone,TRUE,TRUE,FALSE,Create your own storyline in Tizi home & visit my city life & princess town 💫,11716,4.4 and up,IDZ Digital Private Limited,"607, Western Edge II, Borivali (E), Mumbai 400066, India",5.9539E+18,6.7
"Baby Games for 2, 3, 4 Year Old Toddlers",com.iz.baby.games.kids.toddler.learning.shark.puzzle.game,Educational,3.7524753,326,"100,000+",100000,TRUE,0,USD,Varies with device,3,5953899060857090000,http://www.idzdigital.com,support@idzdigital.com,"Dec 13, 2019","May 3, 2021",http://www.kidlo.com/privacypolicy.php,Everyone,N/A,TRUE,FALSE,Fun & educational toddler games for 2 year olds with 350+ preschool games!,169,3.0 and up,IDZ Digital Private Limited,"607, Western Edge II, Borivali (E), Mumbai 400066, India",5.9539E+18,1.5
My Tizi City - Town Games,com.iz.pretend.my.play.lifestyle.city.town.life.games,Educational,3.7720995,7119,"1,000,000+",1000000,TRUE,0,USD,40M,4.4,5953899060857090000,http://www.idzdigital.com,support@idzdigital.com,"Dec 6, 2019","December 4, 2020",http://idzdigital.com/privacypolicy.php,Everyone,TRUE,TRUE,FALSE,Explore the tizi city world & play real life town games in magical land for Free,4490,4.4 and up,IDZ Digital Private Limited,"607, Western Edge II, Borivali (E), Mumbai 400066, India",5.9539E+18,1.4
Toddler Games for 2 and 3 Year Olds,com.baby.toddler.games,Educational,3.8671043,12055,"1,000,000+",1000000,TRUE,0,USD,Varies with device,3,5953899060857090000,http://www.kidlo.com,support@kidlo.com,"Apr 5, 2018","May 5, 2021",http://www.kidlo.com/privacypolicy.php,Everyone,N/A,TRUE,FALSE,Educational toddler games for 3 year olds+ with 1000+ toddler learning games!,4319,3.0 and up,IDZ Digital Private Limited,"607, Western Edge II, Borivali (E), Mumbai 400066, India",5.9539E+18,Varies with device
Kitchen Games - Fun Kids Cooking & Tasty Recipes,com.idz.promo.kitchengames,Role Playing,3,269,"100,000+",100000,TRUE,0,USD,12M,4,5953899060857090000,http://www.idzdigital.com,support@idzdigital.com,"May 2, 2018","February 8, 2019",http://www.kidlo.com/privacypolicy.php,Everyone,N/A,FALSE,FALSE,Cook & bake delcious meals with easy free cooking recipes & become a masterchef!,141,4.0 and up,IDZ Digital Private Limited,"607, Western Edge II, Borivali (E), Mumbai 400066, India",5.9539E+18,1.1
Wonster Words: ABC Phonics Spelling Games for Kids,com.sx.wonsterwords,Education,4.262195,3275,"500,000+",500000,TRUE,0,USD,92M,4.1,5674675083940560000,http://www.77sparx.com,support@77sparx.com,"Jan 21, 2014","March 29, 2021",http://www.77sparx.com/privacy-policy/,Everyone,N/A,TRUE,FALSE,"A fun award-winning learning app that kids, toddlers, and preschoolers love!",1790,4.1 and up,"77SPARX Studio, Inc.","350 Townsend, Suite 280 #751
San Francisco, CA 94107
USA
",5.67468E+18,4.28
Toddler Kids Puzzles PUZZINGO,com.sx.puzzingo,Education,4.6187,15088,"1,000,000+",1000000,TRUE,0,USD,41M,4.0.3,5674675083940560000,http://www.77sparx.com,support@77sparx.com,"Jul 22, 2011","March 25, 2020",http://www.77sparx.com/privacy-policy/,Everyone,N/A,TRUE,FALSE,Teach and delight your kid with this award winning app! Download free today!,8000,4.0.3 and up,"77SPARX Studio, Inc.","350 Townsend, Suite 280 #751
San Francisco, CA 94107
USA
",5.67468E+18,7.64
Puzzingo Kids Puzzles (Pro),com.sx.puzzingopro,Education,4.25,271,"1,000+",1000,FALSE,24.99,USD,38M,4.0.3,5674675083940560000,http://www.77sparx.com,info@77sparx.com,"Apr 19, 2013","November 26, 2019",http://www.77sparx.com/privacy-policy/,Everyone,N/A,FALSE,FALSE,Educational puzzle game guaranteed to entertain and educate your kids!,163,4.0.3 and up,"77SPARX Studio, Inc.","350 Townsend, Suite 280 #751
San Francisco, CA 94107
USA
",5.67468E+18,7.56
Alphabet Wooden Blocks,com.edubuzzkids.alphabetwoodenblocks,Educational,4.1933703,1812,"1,000,000+",1000000,TRUE,0,USD,54M,4.1,5183235697422090000,http://www.edubuzzkids.com,edubuzzkids@gmail.com,"Jan 9, 2016","September 26, 2020",http://www.edubuzzkids.com/privacy-policy.php,Everyone,TRUE,TRUE,FALSE,"Fun way of learning alphabets with ""Alphabet Wooden Blocks""",425,4.1 and up,EDUBUZZKIDS,"Little Brain Works Private Limited, D.NO. 8-31-229, Plot No. 12, Narasimha Nagar, Thotapalem, Vizianagaram – 535003, Andhra Pradesh, INDIA",5.18324E+18,1.7.1
Finger Family Rhymes And Game,com.edubuzzkids.cakepopfingerfamily,Puzzle,3.8777175,3686,"5,000,000+",5000000,TRUE,0,USD,78M,4.1,5183235697422090000,http://www.edubuzzkids.com,edubuzzkids@gmail.com,"Mar 20, 2016","September 7, 2020",http://www.edubuzzkids.com/privacy-policy.php,Everyone,TRUE,TRUE,FALSE,Finger Family Game is an entertaining interactive game,1020,4.1 and up,EDUBUZZKIDS,"Little Brain Works Private Limited, D.NO. 8-31-229, Plot No. 12, Narasimha Nagar, Thotapalem, Vizianagaram – 535003, Andhra Pradesh, INDIA",5.18324E+18,1.7.1
Learning Phonics for Kids,com.edubuzzkids.learningphonicsforkids,Educational,4.16,257,"1,000,000+",1000000,TRUE,0,USD,40M,4.1,5183235697422090000,http://www.edubuzzkids.com,edubuzzkids@gmail.com,"Dec 31, 2015","September 7, 2020",http://www.edubuzzkids.com/privacy-policy.php,Everyone,TRUE,TRUE,FALSE,Learning Phonics for Kids is a simple and exciting learning game for children.,86,4.1 and up,EDUBUZZKIDS,"Little Brain Works Private Limited, D.NO. 8-31-229, Plot No. 12, Narasimha Nagar, Thotapalem, Vizianagaram – 535003, Andhra Pradesh, INDIA",5.18324E+18,1.7.2
Spelling Game,com.edubuzzkids.learntospellforchildren,Educational,3.7657993,2672,"1,000,000+",1000000,TRUE,0,USD,45M,4.1,5183235697422090000,http://www.edubuzzkids.com,edubuzzkids@gmail.com,"Apr 1, 2016","September 5, 2020",http://www.edubuzzkids.com/privacy-policy.php,Everyone,TRUE,TRUE,FALSE,"A simple and fun game to learn food items, vehicles and animal spellings",775,4.1 and up,EDUBUZZKIDS,"Little Brain Works Private Limited, D.NO. 8-31-229, Plot No. 12, Narasimha Nagar, Thotapalem, Vizianagaram – 535003, Andhra Pradesh, INDIA",5.18324E+18,1.4.2
Alphabet Puzzles For Toddlers,com.ragassoft.alphabetpuzzlesfortoddlers,Educational,3.98,514,"100,000+",100000,TRUE,0,USD,42M,4.1,5183235697422090000,http://www.edubuzzkids.com,edubuzzkids@gmail.com,"Sep 7, 2015","September 28, 2020",http://www.edubuzzkids.com/privacy-policy.php,Everyone,TRUE,TRUE,FALSE,"Fun way of learning alphabets with ""Alphabet Puzzles For Toddlers""",110,4.1 and up,EDUBUZZKIDS,"Little Brain Works Private Limited, D.NO. 8-31-229, Plot No. 12, Narasimha Nagar, Thotapalem, Vizianagaram – 535003, Andhra Pradesh, INDIA",5.18324E+18,1.5.3
Sight Words  Pre-K to Grade-3,com.edubuzzkids.sightwords,Educational,3.877907,1721,"500,000+",500000,TRUE,0,USD,38M,4.1,5183235697422090000,http://www.edubuzzkids.com,edubuzzkids@gmail.com,"Apr 20, 2016","September 10, 2020",http://www.edubuzzkids.com/privacy-policy.php,Everyone,TRUE,TRUE,FALSE,"Free game to learn Dolch Sight Words for Pre-K, Grade 1 to 3 & Nouns.",509,4.1 and up,EDUBUZZKIDS,"Little Brain Works Private Limited, D.NO. 8-31-229, Plot No. 12, Narasimha Nagar, Thotapalem, Vizianagaram – 535003, Andhra Pradesh, INDIA",5.18324E+18,1.7.3
Shapes Puzzles for Kids,com.ragassoft.shapespuzzlesforkids,Educational,3.897436,1170,"500,000+",500000,TRUE,0,USD,49M,4.1,5183235697422090000,http://www.edubuzzkids.com,edubuzzkids@gmail.com,"Jul 26, 2015","September 10, 2020",http://www.edubuzzkids.com/privacy-policy.php,Everyone,TRUE,TRUE,FALSE,An Educational Game for kids to Learn Geometrical Shapes by Puzzle Activities.,263,4.1 and up,EDUBUZZKIDS,"Little Brain Works Private Limited, D.NO. 8-31-229, Plot No. 12, Narasimha Nagar, Thotapalem, Vizianagaram – 535003, Andhra Pradesh, INDIA",5.18324E+18,1.8.4
ABC Alphabet Tracing,com.edubuzzkids.abc_tracing_game_kids_toddlers,Educational,3.79,627,"500,000+",500000,TRUE,0,USD,60M,4.1,5183235697422090000,http://www.edubuzzkids.com,edubuzzkids@gmail.com,"Mar 28, 2017","September 24, 2020",http://www.edubuzzkids.com/privacy-policy.php,Everyone,TRUE,TRUE,FALSE,ABC Alphabet Tracing & Writing- A fun way to learn writing letters for your kids,167,4.1 and up,EDUBUZZKIDS,"Little Brain Works Private Limited, D.NO. 8-31-229, Plot No. 12, Narasimha Nagar, Thotapalem, Vizianagaram – 535003, Andhra Pradesh, INDIA",5.18324E+18,1.3.2
Surprise Eggs,com.edubuzzkids.surpriseeggs,Casual,4.17,884,"500,000+",500000,TRUE,0,USD,88M,4.1,5183235697422090000,http://www.edubuzzkids.com,edubuzzkids@gmail.com,"May 1, 2016","October 1, 2020",http://www.edubuzzkids.com/privacy-policy.php,Everyone,TRUE,TRUE,FALSE,A fun game of unwrapping Surprise Eggs with awesome toys inside.,230,4.1 and up,EDUBUZZKIDS,"Little Brain Works Private Limited, D.NO. 8-31-229, Plot No. 12, Narasimha Nagar, Thotapalem, Vizianagaram – 535003, Andhra Pradesh, INDIA",5.18324E+18,1.6.2
Numbers Puzzles For Toddlers,com.edubuzzkids.numberspuzzlesfortoddlers,Educational,4.15,422,"100,000+",100000,TRUE,0,USD,35M,4.1,5183235697422090000,http://www.edubuzzkids.com,edubuzzkids@gmail.com,"Dec 20, 2015","September 10, 2020",http://www.edubuzzkids.com/privacy-policy.php,Everyone,TRUE,TRUE,FALSE,"Fun way of learning numbers with ""Numbers Puzzles For Toddlers""",111,4.1 and up,EDUBUZZKIDS,"Little Brain Works Private Limited, D.NO. 8-31-229, Plot No. 12, Narasimha Nagar, Thotapalem, Vizianagaram – 535003, Andhra Pradesh, INDIA",5.18324E+18,1.4.3
Leo and Tig,com.imult.leotig,Adventure,4.073789,61123,"5,000,000+",5000000,TRUE,0,USD,35M,4.0.3,4732508951530660000,https://goo.gl/CTPZdw,support@i-mult.ru,"Sep 13, 2017","April 22, 2021",http://i-mult.tlum.ru/privacy,Everyone,TRUE,TRUE,FALSE,"What kind of surprises does the taiga hold?
Let's go towards new adventures!",21872,4.0.3 and up,Interactive Moolt DTv,"125167, г.Москва, Ленинградский пр-т,  д. 37А, корп.4, этаж 10, помещение XXII, комната 1",4.73251E+18,1.210422
Paper Tales Free,com.imult.papermates,Educational,4.0838943,44572,"1,000,000+",1000000,TRUE,0,USD,Varies with device,N/A,4732508951530660000,http://goo.gl/G6wfP7,support@i-mult.ru,"Dec 1, 2015","December 7, 2020",http://i-mult.ru/privacy/,Everyone,N/A,TRUE,FALSE,Creative exploration and crafting game for kids,17996,,Interactive Moolt DTv,"125167, г.Москва, Ленинградский пр-т,  д. 37А, корп.4, этаж 10, помещение XXII, комната 1",4.73251E+18,1.201207
Leo and Tig: Forest Adventures,com.imult.leotig2,Adventure,3.7873633,8230,"1,000,000+",1000000,TRUE,0,USD,40M,4.1,4732508951530660000,https://i-mult.tlum.ru,support@i-mult.ru,"Nov 14, 2018","April 20, 2021",http://i-mult.tlum.ru/privacy,Everyone,N/A,TRUE,FALSE,Go on a journey to see the most magnificent spot in all the taiga!,3755,4.1 and up,Interactive Moolt DTv,"125167, г.Москва, Ленинградский пр-т,  д. 37А, корп.4, этаж 10, помещение XXII, комната 1",4.73251E+18,1.21042
Be-be-bears - Creative world,com.imult.bebebears2,Educational,4.027957,18588,"1,000,000+",1000000,TRUE,0,USD,Varies with device,N/A,4732508951530660000,https://i-moolt.com/games/be-be-bears-2,support@i-mult.ru,"Dec 26, 2016","December 21, 2020",http://i-moolt.com/privacy/es,Everyone,N/A,TRUE,FALSE,A new game based on Be-be-bears TV series. An interactive adventure for kids!,6254,,Interactive Moolt DTv,"125167, г.Москва, Ленинградский пр-т,  д. 37А, корп.4, этаж 10, помещение XXII, комната 1",4.73251E+18,1.201219
